Word	Annotation	Sense	Part of Speech	Level
sister			n.	A1
heaven			n.	B2
grand			adj.	B2
apart			adv.	B1
detail			n. A1, v. B2	A1, B2
contain			v.	A2
assume			v.	B2
prove			v.	B1
fight			v., n.	A2
edge			n.	B1
career			n.	A1
strategy			n.	A2
creation			n.	B2
severe			adj.	B2
background			n.	A2
walk			v., n.	A1
describe			v.	A1
bar			n. A2, v. B2	A2, B2
fifty			number	A1
mountain			n.	A1
establish			v.	B2
garden			n.	A1
grant			v., n.	B2
violence			n.	B2
quantity			n.	A2
camp			n., v.	A2
strange			adj.	A2
famous			adj.	A1
extremely			adv.	A2
poetry			n.	B1
apparent			adj.	B2
rapidly			adv.	B2
excellent			adj.	A2
brief			adj.	B2
solid			adj., n.	B1
reduce			v.	A2
false			adj.	A1
absolute			adj.	B2
mission			n.	B2
drawing			n.	A2
leadership			n.	B2
ourselves			pron.	A2
intelligence			n.	B1
advance			n., v., adj.	B2
technique			n.	B1
executive			n., adj.	B2
relief			n.	B2
possibly			adv.	B1
confidence			n.	B2
reduction			n.	B2
appeal			n., v.	B2
draw			v.	A1
regional			adj.	B2
minimum			adj., n.	B2
assessment			n.	B2
multiple			adj.	B2
familiar			adj.	B1
seek			v.	B2
combination			n.	B2
capable			adj.	B2
organized			adj.	B1
explanation			n.	A2
sale			n.	A2
twelve			number	A1
forty			number	A1
contemporary			adj.	B2
wealth			n.	B2
necessarily			adv.	B1
please			exclam. A1, v. A2	A1, A2
medicine			n.	A2
build			v.	A1
ideal			adj. A2, n. B2	A2, B2
wave			n. A2, v. B1	A2, B1
mine	(belongs to me)		pron.	A2
mine	(hole in the ground)		n.	B1
reasonable			adj.	B2
objective			n., adj.	B2
located			adj.	B1
height			n.	A2
fellow			adj.	B2
version			n.	B1
rapid			adj.	B2
crime			n.	A2
lie		1	v.	A1
lie	(tell a lie)	2	v., n.	B1
eventually			adv.	B1
inner			adj.	B2
competition			n.	A2
psychology			n.	B2
therapy			n.	B2
soft			adj.	A2
signal			n., v.	B1
limit			n., v.	B1
goal			n.	A2
grow			v.	A1
payment			n.	B1
engaged			adj.	B1
minute		1	n.	A1
copy			n., v.	A2
affect			v.	A2
campaign			n., v.	B1
plane			n.	A1
sector			n.	B2
slow			adj. A1, v. B1	A1, B1
sentence			n. A1, v. B2	A1, B2
column			n.	A2
novel			n.	A2
substance			n.	B1
consequence			n.	B1
adult			n. A1, adj. A2	A1, A2
experiment			n. A2, v. B1	A2, B1
approximately			adv.	B1
block			n., v.	B1
store			n. A2, v. B1	A2, B1
layer			n.	B1
yellow			adj., n.	A1
season			n.	A2
personality			n.	A2
plain			adj.	B2
maybe			adv.	A1
permanent			adj.	B2
mainly			adv.	B1
museum			n.	A1
buy			v.	A1
narrow			adj. A2, v. B2	A2, B2
cast			n., v.	B2
watch			v., n.	A1
crisis			n.	B2
tend			v.	B1
feature			n. A2, v. B1	A2, B1
scheme			n.	B2
count			v. A2, n. B1	A2, B1
cash			n.	A2
profit			n.	B1
possession			n.	A2
perspective			n.	B2
safe			adj.	A2
naturally			adv.	B1
touch			v. A2, n. B1	A2, B1
aspect			n.	B2
branch			n.	B1
institution			n.	B2
milk			n.	A1
unable			adj.	B1
shot			n.	B2
audience			n.	A2
proof			n.	B2
extreme			adj. A2, n. B2	A2, B2
pretty			adj., adv.	A1
bone			n.	A2
agree			v.	A1
transport			n. A2, v. B1	A2, B1
salt			n.	A1
circle			n., v.	A2
warm			adj. A1, v. B1	A1, B1
relevant			adj.	B2
damage			n., v.	B1
hearing			n.	B2
gradually			adv.	B2
publication			n.	B2
observation			n.	B2
repeated			adj.	B1
radio			n.	A1
wait			v. A1, n. A2	A1, A2
summary			n.	B1
vast			adj.	B2
emphasis			n.	B2
train			n. A1, v. A2	A1, A2
baby			n.	A1
partly			adv.	B2
detailed			adj.	B2
minor			adj.	B2
ice			n.	A1
thin			adj.	A2
travel			v., n.	A1
motor			n., adj.	B2
improvement			n.	B1
unknown			adj.	B2
eat			v.	A1
depth			n.	B2
poet			n.	B1
escape			v., n.	B1
client			n.	B1
experienced			adj.	B1
sequence			n.	B2
valuable			adj.	B1
nuclear			adj.	B1
port			n.	B1
user			n.	A2
willing			adj.	B2
percentage			n.	B1
strongly			adv.	B1
document			n. A2, v. B2	A2, B2
band			n.	A1
conversation			n.	A1
advice			n.	A1
overall			adj., adv.	B2
secure			v., adj.	B2
cancer			n.	B2
instrument			n.	A2
request			n. A2, v. B1	A2, B1
mixed			adj.	B2
sit			v.	A1
afterwards			adv.	B2
perform			v.	A2
academic			adj.B1, n. B2	B1, B2
preparation			n.	B2
cycle			n., v.	A2
global			adj.	B1
widely			adv.	B2
instruction			n.	A2
manager			n.	A2
commonly			adv.	B2
purchase			n., v.	B2
investigation			n.	B2
dog			n.	A1
bridge			n.	A2
properly			adv.	B1
component			n.	B2
select			v.	B2
obviously			adv.	B1
curve			n., v.	B2
criticism			n.	B2
map			n. A1, v. B2	A1, B2
careful			adj.	A2
criminal			n. A2, adj. B1	A2, B1
electric			adj.	A2
angle			n.	B2
weak			adj.	A2
load			n., v.	B2
debt			n.	B2
club			n.	A1
protect			v.	A2
plus		1	prep. B1, adj., conj., n. B2	B1, B2
identify			v.	A2
corner			n.	A2
engineering			n.	B1
dream			n., v.	A2
vote			n., v.	B1
fairly			adv.	B1
web			n.	A2
fund			n., v.	B2
tone			n.	B2
entry			n.	B1
happen			v.	A1
emotional			adj.	B2
frame			n., v.	B1
dangerous			adj.	A1
achieve			v.	A2
representative			n., adj.	B2
sugar			n.	A1
song			n.	A1
similarly			adv.	B1
discuss			v.	A1
bright			adj.	A2
flat			n. A1, adj. A2	A1, A2
coal			n.	B1
liquid			n., adj.	B1
muscle			n.	B1
mention			v. A2, n. B1	A2, B1
owner			n.	A2
truly			adv.	B2
couple			n.	A2
editor			n.	B1
continuous			adj.	B1
spot			n. B1, v. B2	B1, B2
unique			adj.	B2
release			v., n.	B1
interview			n., v.	A1
stream			n.	B2
suitable			adj.	B1
rare			adj.	B1
improve			v.	A1
boat			n.	A1
notion			n.	B2
television			n.	A1
chair			n. A1, v. B2	A1, B2
weather			n.	A1
remove			v.	A2
hotel			n.	A1
lose			v.	A1
thick			adj.	A2
tube			n.	B1
display			v., n.	B2
opposed			adj.	B2
permission			n.	A2
seat			n. A2, v. B2	A2, B2
prayer			n.	B1
refer			v.	A2
promise			v., n.	A2
visual			adj.	B2
fifth			number	A1
fruit			n.	A1
dinner			n.	A1
elsewhere			adv.	B2
root			n.	B2
journey			n.	A1
silence			n.	B2
raise			v.	A2
quiet			adj.	A1
twice			adv.	A1
star			n. A1, v. A2	A1, A2
ring		1	n.	A2
ring		2	v. A2, n. B1	A2, B1
taste			n., v.	A2
occasionally			adv.	B2
housing			n.	B2
parent			n.	A1
regulation			n.	B2
join			v.	A1
ball			n.	A1
worse			adj. A2, adv. B1, n. B2	A2, B1, B2
chain			n. B1, v. B2	B1, B2
injury			n.	A2
target			n. A2, v. B2	A2, B2
sell			v.	A1
neck			n.	A2
zone			n.	B2
arrangement			n.	A2
clean			adj., v.	A1
recognize			v.	A2
drop			v. A2, n. B1	A2, B1
pair			n.	A1
quarter			n.	A1
sharp			adj.	B1
poem			n.	B1
afternoon			n.	A1
contribution			n.	B2
ad			n.	B1
wonder			v., n.	B1
consistent			adj.	B2
challenge			n. B1, v. B2	B1, B2
shift			n. B1, v. B2	B1, B2
zero			number	A2
item			n.	A2
laboratory			n.	B1
atmosphere			n.	B1
waste			n., v., adj.	B1
session			n.	B2
fat			adj. A1, n.A2	A1, A2
fashion			n.	A2
ahead			adv.	B1
sky			n.	A2
originally			adv.	B1
prime			adj.	B2
fighting			n.	B1
wise			adj.	B2
device			n.	A2
poverty			n.	B1
wine			n.	A1
household			n.	B2
transition			n.	B2
behaviour			n.	A2
software			n.	B1
grade			n. B1, v. B2	B1, B2
channel			n.	B1
mail			n., v.	A2
core			n., adj.	B2
discovery			n.	A2
perfectly			adv.	B1
cotton			n.	B1
joy			n.	B2
sand			n.	B1
sweet			adj., n.	A2
victory			n.	B2
drink			n., v.	A1
decide			v.	A1
ensure			v.	B2
whenever			conj.	B1
increasingly			adv.	B2
impression			n.	B1
colour			n.	A1
corporate			adj.	B2
fifteen			number	A1
rain			n., v.	A1
extra			adj. A1, n., adv. B1	A1, B1
noise			n.	A2
afraid			adj.	A1
translation			n.	B1
imagine			v.	A1
guard			n., v.	B1
estimate			v., n.	B2
classical			adj.	A2
onto			prep.	A2
surely			adv.	B1
unlike			prep.	B1
quick			adj.	A1
Sunday			n.	A1
nerve			n.	B2
conscious			adj.	B2
strike			v., n.	B2
narrative			n., adj.	B1
skill			n.	A1
ocean			n.	A2
huge			adj.	A2
depend			v.	A2
enjoy			v.	A1
examine			v.	B1
expense			n.	B2
budget			n.	B2
painting			n.	A1
furthermore			adv.	B2
route			n.	A2
empty			adj. A2, v. B1	A2, B1
thank			v.	A1
category			n.	B1
artist			n.	A1
measurement			n.	B2
constantly			adv.	B2
mostly			adv.	A2
debate			n., v.	B2
clothes			n.	A1
smile			v., n.	A2
armed			adj.	B2
snow			n., v.	A1
moon			n.	A2
host			n. B1, v. B2	B1, B2
inch			n.	B2
rank			n., v.	B2
imagination			n.	B2
normally			adv.	A2
rarely			adv.	B1
decline			v., n.	B2
fail			v.	A2
uniform			n.	A2
flight			n.	A1
engine			n.	A2
permit			v., n.	B2
via			prep.	B2
telephone			n., v.	A1
dance			n., v.	A1
deeply			adv.	B2
defence			n.	B2
sudden			adj.	B1
hit			v., n.	A2
specifically			adv.	B1
screen			n. A2, v. B2	A2, B2
employee			n.	A2
gift			n.	A2
traffic			n.	A1
bond			n.	B2
league			n.	B2
theatre			n.	A1
sheet			n.	A2
intention			n.	B1
happiness			n.	B1
fill			v.	A1
efficient			adj.	B2
satisfied			adj.	B2
forget			v.	A1
dress			n., v.	A1
discipline			n.	B2
teach			v.	A1
spend			v.	A1
infection			n.	B2
witness			n., v.	B2
phone			n., v.	A1
prison			n.	A2
aim			v., n.	B1
significantly			adv.	B2
marketing			n.	B1
card			n.	A1
bird			n.	A1
print			v. A2, n. B2	A2, B2
slave			n.	B2
border			n. B1, v. B2	B1, B2
link			n., v.	A2
newspaper			n.	A1
stable			adj.	B2
mixture			n.	B1
slight			adj.	B2
consumer			n.	B1
alcohol			n.	B1
compare			v.	A1
sick			adj.	A1
resource			n.	B1
define			v.	B1
finance			n., v.	B2
reflect			v.	B1
spoken			adj.	B1
grain			n.	B1
universe			n.	B2
sensitive			adj.	B2
suit			n. A2, v. B1	A2, B1
arise			v.	B2
magazine			n.	A1
observe			v.	B2
wage			n.	B2
exact			adj.	A2
kill			v.	A2
vary			v.	B2
row		1	n.	B1
accurate			adj.	B2
tool			n.	A2
reply			v., n.	A2
bread			n.	A1
alive			adj.	A2
theme			n.	B1
absolutely			adv.	B1
listen			v.	A1
shop			n., v.	A1
worker			n.	A1
railway			n.	A2
architecture			n.	A2
ultimately			adv.	B2
vital			adj.	B2
coffee			n.	A1
nervous			adj.	A2
ear			n.	A1
reserve			n., v.	B2
breath			n.	B1
grass			n.	A2
silent			adj.	B1
arrival			n.	B1
thanks			exclam., n.	A1
logical			adj.	B2
punishment			n.	B1
trip			n. A1, v. B2	A1, B2
climate			n.	A2
outer			adj.	B2
definite			adj.	B1
decrease			v., n.	B2
fuel			n. B1, v. B2	B1, B2
wonderful			adj.	A1
threat			n.	B2
meat			n.	A1
realize			v.	A2
cup			n.	A1
unfortunately			adv.	A2
typically			adv.	B1
track			n. A2, v. B2	A2, B2
favour			n. B1, v. B2	B1, B2
illness			n.	A2
delivery			n.	B2
seriously			adv.	B1
enable			v.	B2
surprise			n., v.	A2
phenomenon			n.	B2
temporary			adj.	B2
wire			n.	B2
custom			n.	B1
bell			n.	B1
prepare			v.	A1
option			n.	A2
creative			adj.	A2
tea			n.	A1
childhood			n.	B1
unusual			adj.	A2
rice			n.	A1
gun			n.	A2
shoulder			n.	A2
chairman			n.	B2
dramatic			adj.	B2
effectively			adv.	B1
violent			adj.	B1
belong			v.	A2
hell			n.	B2
programme			n.	A1
delay			v., n.	B2
priest			n.	B1
gentleman			n.	B1
partner			n.	A1
operate			v.	B2
treat			v.	B1
musical			adj. A2, n. B1	A2, B1
diet			n.	A1
phrase			n.	A1
admit			v.	B1
win			v. A1, n. B1	A1, B1
entrance			n.	B1
abroad			adv.	A2
everywhere			adv.	A2
mile			n.	A1
wear			v.	A1
passion			n.	B1
involve			v.	A2
cloth			n.	B1
hole			n.	A2
palace			n.	A2
customer			n.	A1
crowd			n.	A2
honour			n., v.	B2
tongue			n.	B1
extraordinary			adj.	B2
handle			v., n.	B2
glad			adj.	B1
electronic			adj.	A2
raw			adj.	B2
suffer			v.	B1
senior			adj.	B2
kitchen			n.	A1
loan			n.	B2
electrical			adj.	A2
conservative			adj., n.	B2
pleased			adj.	A2
surrounding			adj.	B2
nice			adj.	A1
uncle			n.	A1
extend			v.	B2
outcome			n.	B2
seed			n.	B1
discover			v.	A2
proposal			n.	B2
paragraph			n.	A1
convinced			adj.	B2
gate			n.	A2
incident			n.	B2
chest			n.	B1
clause			n.	B1
smooth			adj.	B1
advertising			n.	A2
score			v., n.	A2
murder			n., v.	B1
minority			n.	B2
presentation			n.	B1
possess			v.	B2
feed			v. A2, n. B2	A2, B2
friendly			adj.	A1
export			n., v.	B1
blind			adj.	B2
anger			n.	B2
enormous			adj.	A2
healthy			adj.	A1
essay			n.	A2
driving			n.	A2
tall			adj.	A1
castle			n.	A2
assistant			n., adj.	A2
factory			n.	A2
fortune			n.	B2
breast			n.	B2
recall			v.	B2
fault			n.	B2
achievement			n.	B1
commitment			n.	B2
accident			n.	A2
terrible			adj.	A1
courage			n.	B2
internet			n.	A1
click			v., n.	B1
promote			v.	B1
profession			n.	B1
rough			adj.	B1
remote			adj.	B1
habit			n.	A2
plot			n. B1, v. B2	B1, B2
schedule			n. A2, v. B2	A2, B2
sorry			adj., exclam.	A1
attend			v.	A2
contribute			v.	B2
reputation			n.	B2
shock			n., v.	B2
symbol			n.	A2
dust			n.	B1
catch			v. A2, n. B2	A2, B2
comment			n. A2, v. B1	A2, B1
fly			v. A1, n. A2	A1, A2
pleasant			adj.	B1
string			n.	B1
speaker			n.	A2
friendship			n.	B1
comfort			n., v.	B2
surgery			n.	B2
printing			n.	B1
cry			v. A2, n. B2	A2, B2
beach			n.	A1
worst			adj. A2, adv. B1, n. B2	A2, B1, B2
afford			v.	B1
encourage			v.	B1
successfully			adv.	B1
shell			n.	B1
decade			n.	B1
cool			adj. A1, v. B1	A1, B1
appointment			n.	B1
fiction			n.	A2
complicated			adj.	B2
respond			v.	A2
steady			adj.	B2
sixty			number	A1
nose			n.	A1
employer			n.	A2
pick			v. A2, n. B2	A2, B2
roof			n.	A2
surprised			adj.	A2
guilty			adj.	B1
wet			adj.	A2
wing			n.	B1
intense			adj.	B2
nurse			n.	A1
throw			v.	A2
rent			n., v.	B1
approval			n.	B2
hurt			v., adj. A2, n. B2	A2, B2
desert			n. A2, v. B2	A2, B2
drama			n.	A2
busy			adj.	A1
nobody			pron.	A1
totally			adv.	B1
currently			adv.	B1
servant			n.	B1
storm			n.	A2
expensive			adj.	A1
mistake			n. A1, v. B2	A1, B2
destroy			v.	A2
soldier			n.	A2
requirement			n.	B2
match	(contest/correspond)		n.	
beat			v. A2, n. B2	A2, B2
leg			n.	A1
crop			n.	B2
cook			v. A1, n. A2	A1, A2
anxious			adj.	B2
emergency			n.	B1
smoke			n., v.	A2
everybody			pron.	A1
hero			n.	A2
diagram			n.	B1
argue			v.	A2
loose			adj.	B2
billion			number	A2
competitive			adj.	B1
artificial			adj.	B2
guess			v., n.	A1
aircraft			n.	B2
cat			n.	A1
honest			adj.	B1
organ			n.	B2
vehicle			n.	A2
hat			n.	A1
shadow			n.	B2
helpful			adj.	A2
gap			n.	A2
heavily			adv.	B1
register			v., n.	B2
praise			n., v.	B2
sheep			n.	A1
suggestion			n.	A2
educated			adj.	B1
assist			v.	B1
clothing			n.	A2
meanwhile			adv.	B1
angry			adj.	A1
topic			n.	A1
lesson			n.	A1
mount			v.	B2
landscape			n.	B2
trend			n.	B1
stomach			n.	A2
shut			v., adj.	A2
finger			n.	A2
citizen			n.	B2
expert			n., adj.	A2
tower			n.	A2
demonstrate			v.	B2
pull			v. A2, n. B1	A2, B1
welcome			exclam., v., adj. A1, n. A2	A1, A2
obligation			n.	B2
blow			v.	A2
acceptable			adj.	B2
reveal			v.	B2
pipe			n.	B1
attractive			adj.	A2
aged			adj.	B1
ethical			adj.	B2
somewhere			adv., pron.	A2
dressed			adj.	B1
crucial			adj.	B2
fishing			n.	A2
expedition			n.	B1
pale			adj.	B1
defeat			v., n.	B2
initially			adv.	B2
grey			adj., n.	A1
flying			n., adj.	A2
flower			n.	A1
victim			n.	B1
currency			n.	B1
lawyer			n.	A2
proud			adj.	B1
comfortable			adj.	A2
split			v., n.	B2
sympathy			n.	B2
pour			v.	B1
wooden			adj.	A2
repeat			v. A1, n. B1	A1, B1
wound			n., v.	B2
recording			n.	A2
tiny			adj.	B1
mirror			n.	A2
dollar			n.	A1
chart			n. A1, v. B2	A1, B2
candidate			n.	B1
leaf			n.	B1
coat			n.	A1
plastic			n., adj.	A2
wheel			n.	A2
orange			n., adj.	A1
preserve			v.	B2
weakness			n.	B2
unemployment			n.	B1
warning			n.	B1
tail			n.	B1
missing			adj.	A2
tired			adj.	A1
departure			n.	B1
draft			n., v.	B2
regularly			adv.	B1
farmer			n.	A1
singing			n.	A2
roll			v., n.	B1
convenient			adj.	B1
dozen			n., det.	B2
meal			n.	A1
saving			n.	B2
routine			n. A1, adj. B2	A1, B2
profile			n.	A2
spending			n.	B1
harm			n., v.	B2
pray			v.	B1
prefer			v.	A1
sad			adj.	A1
pool			n.	A1
deny			v.	B2
illustration			n.	B2
TV			n.	A1
ah			exclam.	A2
brilliant			adj.	A2
fun			n. A1, adj. A2	A1, A2
tale			n.	B2
manage			v.	A2
conclude			v.	B1
solve			v.	A2
fee			n.	B2
physics			n.	A2
surprising			adj.	A2
panel			n.	B2
eleven			number	A1
mathematics			n.	A2
ride			v. A1, n. A2	A1, A2
hunting			n.	B2
classroom			n.	A1
participate			v.	B1
repair			v. A2, n. B1	A2, B1
cap			n.	B1
magic			n., adj.	B1
desk			n.	A1
excited			adj.	A1
affair			n.	B2
pocket			n.	A2
capture			v., n.	B2
outline			n., v.	B2
guy			n.	A2
satisfy			v.	B2
bag			n.	A1
mood			n.	B1
marry			v.	A2
introduce			v.	A1
intelligent			adj.	A2
portrait			n.	B1
button			n.	A2
stick	(piece of wood)		n.	B1
stick	(push into/attach)		v.	B1
import			n., v.	B1
strict			adj.	B2
paint			v., n.	A1
bus			n.	A1
enthusiasm			n.	B2
virus			n.	A2
calm			adj., v., n.	B1
yours			pron.	A2
arrive			v.	A1
driver			n.	A1
tip			n. A2, v. B1	A2, B1
bitter			adj.	B2
video			n.	A1
massive			adj.	B2
qualified			adj.	B1
adopt			v.	B2
illustrate			v.	B2
camera			n.	A1
bent			adj.	B2
engage			v.	B2
ending			n.	A2
folk			n., adj.	B1
mystery			n.	B1
emotion			n.	B1
chemistry			n.	A2
romantic			adj.	B1
bush			n.	B2
replace			v.	A2
anyway			adv.	A2
graduate			n., v.	B1
relate			v.	B1
mineral			n.	B2
forever			adv.	B1
plenty			pron.	B1
slope			n., v.	B2
refuse		1	v.	A2
innocent			adj.	B1
continent			n.	A2
gentle			adj.	B1
crew			n.	B2
reward			n., v.	B2
protest			n., v.	B1
artistic			adj.	B2
classic			adj., n.	B2
wherever			conj.	B2
consist			v.	B1
defend			v.	B2
digital			adj.	A2
furniture			n.	A2
egg			n.	A1
finish			v. A1, n. A2	A1, A2
quietly			adv.	A2
tape			n.	B1
survive			v.	B1
yard			n.	B1
breakfast			n.	A1
sing			v.	A1
anywhere			adv., pron.	A2
bath			n.	A1
painful			adj.	B1
personally			adv.	B1
pound			n.	A1
laugh			v., n.	A1
tour			n. A2, v. B1	A2, B1
tomorrow			adv., n.	A1
employ			v.	A2
worry			v. A2, n. B1	A2, B1
cloud			n.	A2
excitement			n.	B1
dialogue			n.	A1
apartment			n.	A1
throat			n.	B1
push			v. A2, n. B1	A2, B1
succeed			v.	A2
indirect			adj.	B1
reliable			adj.	B1
retain			v.	B2
engineer			n.	A2
settle			v.	B2
pan			n.	B1
platform			n.	A2
player			n.	A1
rubber			n., adj.	B2
acquire			v.	B2
Saturday			n.	A1
electricity			n.	A2
stuff			n. B1, v. B2	B1, B2
aunt			n.	A1
bottle			n.	A1
yesterday			adv., n.	A1
priority			n.	B2
prospect			n.	B2
retired			adj.	B1
delight			v., n.	B2
construct			v.	B2
bacteria			n.	B2
loud			adj., adv.	A2
mix			v., n.	B1
powder			n.	B1
solar			adj.	B2
facility			n.	B2
encounter			v., n.	B2
arrest			v., n.	B1
odd			adj.	B1
eighteen			number	A1
flag			n.	B1
justify			v.	B2
pen			n.	A1
seventy			number	A1
insight			n.	B2
cable			n.	B2
unlikely			adj.	B1
creature			n.	B2
resident			n., adj.	B2
lunch			n.	A1
deliver			v.	B1
resist			v.	B2
confused			adj.	B1
heating			n.	B1
collect			v.	A2
latest			adj. B1, n. B2	B1, B2
elderly			adj.	B2
pollution			n.	A2
gallery			n.	A2
killing			n.	B1
fourteen			number	A1
divide			v. B1, n. B2	B1, B2
silk			n.	B2
generate			v.	B2
photo			n.	A1
menu			n.	A1
prisoner			n.	B1
hate			v. A1, n. B1	A1, B1
salary			n.	A2
CD			n.	A1
pace			n., v.	B2
autumn			n.	A1
cure			v., n.	B2
tight			adj.	B1
historic			adj.	B1
unconscious			adj.	B2
breathing			n.	B1
guarantee			v., n.	B2
fancy			v., adj.	B1
remark			n., v.	B2
pupil			n.	B2
hide			v.	A2
alter			v.	B2
initiative			n.	B2
pilot			n.	A2
mild			adj.	B1
tank			n.	B2
award			n. A2, v. B1	A2, B1
stranger			n.	B1
assignment			n.	B1
generous			adj.	B1
complaint			n.	B1
ceremony			n.	B1
sixteen			number	A1
rely			v.	B2
evaluate			v.	B2
lecture			n., v.	A2
submit			v.	B2
lovely			adj.	A2
hunt			v. B1, n. B2	B1, B2
switch			v. B1, n. B2	B1, B2
feedback			n.	B2
blame			v., n.	B2
fur			n.	B1
giant			adj., n.	B1
mad			adj.	B1
cream			n. A1, adj. B1	A1, B1
ice cream			n.	A1
definitely			adv.	A2
communicate			v.	A2
charity			n.	A2
pursue			v.	B2
lift			v., n.	A2
flood			n., v.	B1
correctly			adv.	A2
clock			n.	A1
explore			v.	B1
beer			n.	A1
movie			n.	A1
farming			n.	A2
knife			n.	A2
somebody			pron.	A1
dancing			n.	A1
badly			adv.	A2
mobile			adj., n.	A2
criterion			n.	B2
associate			v.	B2
reception			n.	A2
excuse			n., v.	B2
appreciate			v.	B1
hi			exclam.	A1
informal			adj.	A2
everyday			adj.	A2
invention			n.	A2
belt			n.	A2
dad			n.	A1
lung			n.	B2
photograph			n. A1, v. A2	A1, A2
impressed			adj.	B2
prize			n.	A2
pitch			n.	B2
tie			v., n.	A2
acknowledge			v.	B2
unnecessary			adj.	B1
princess			n.	B1
butter			n.	A1
flexible			adj.	B2
wedding			n.	A2
package			n. B1, v. B2	B1, B2
suspect			v., n.	B2
recover			v.	B2
smell			v., n.	A2
sport			n.	A1
online			adj., adv.	A1
assess			v.	B2
aggressive			adj.	B2
combine			v.	B1
wash			v. A1, n. A2	A1, A2
talent			n.	B1
junior			adj.	B2
flame			n.	B2
peaceful			adj.	B1
illegal			adj.	B1
calculate			v.	B2
brand			n., v.	B1
dictionary			n.	A1
actor			n.	A1
restaurant			n.	A1
biology			n.	A2
shame			n.	B2
label			n., v.	B1
resort			n.	B2
declare			v.	B2
rush			v., n.	B2
leather			n.	B1
battery			n.	B1
brave			adj.	B1
mouse			n.	A1
disaster			n.	A2
slip			v.	B2
cousin			n.	A1
tropical			adj.	B2
grateful			adj.	B1
shelter			n., v.	B2
injured			adj.	B1
truck			n.	A2
diary			n.	A2
cheap			adj. A1, adv. B1	A1, B1
smoking			n.	A2
monitor			n., v.	B2
tin			n.	B1
wake			v.	A1
geography			n.	A1
barrier			n.	B2
mud			n.	B1
shade			n.	B2
vitamin			n.	B2
blank			adj., n.	A2
resolve			v.	B2
thirteen			number	A1
gather			v.	B1
anybody			pron.	A2
fix			v. A2, n. B2	A2, B2
differently			adv.	A2
guest			n.	A2
entertainment			n.	B1
exploration			n.	B2
piano			n.	A1
exhibition			n.	B1
fold			v. B1, n. B2	B1, B2
pink			adj., n.	A1
knee			n.	A2
circumstance			n.	B2
pot			n.	B1
leisure			n.	B1
realistic			adj.	B2
luck			n.	A2
collapse			v., n.	B2
cooking			n.	A1
unexpected			adj.	B2
grandfather			n.	A1
mysterious			adj.	B2
eighty			number	A1
expand			v.	B1
laughter			n.	A2
funding			n.	B2
lamp			n.	A2
imply			v.	B2
burn			v. A2, n. B2	A2, B2
Monday			n.	A1
crowded			adj.	A2
cruel			adj.	B1
expectation			n.	B2
brush			v., n.	A2
sensible			adj.	B1
Friday			n.	A1
rhythm			n.	B2
festival			n.	A1
apple			n.	A1
shallow			adj.	B2
shirt			n.	A1
T-shirt			n.	A1
offensive			adj.	B2
ambition			n.	B1
bowl			n.	A2
interpret			v.	B2
weapon			n.	B1
painter			n.	A2
wool			n.	B1
ghost			n.	B1
secondly			adv.	A2
contest			n., v.	B2
needle			n.	B1
emerge			v.	B2
asleep			adj.	A2
pension		1	n.	B2
frozen			adj.	B1
lion			n.	A1
pack			v. A2, n. B1	A2, B1
wealthy			adj.	B2
horror			n.	B1
ours			pron.	B1
desperate			adj.	B2
ignore			v.	B1
recommend			v.	A2
alarm			n. B1, v. B2	B1, B2
investigate			v.	B1
studio			n.	B1
chicken			n.	A1
propose			v.	B2
shoot			v.	B1
virtual			adj.	B2
planet			n.	A2
shooting			n.	B2
deliberately			adv.	B2
exciting			adj.	A1
offence			n.	B2
hang			v.	B1
commit			v.	B1
coloured			adj.	B1
stretch			v., n.	B2
sail			v. A2, n. B1	A2, B1
unhappy			adj.	A2
impressive			adj.	B1
rid			v.	B2
worried			adj.	A2
concentrate			v.	B1
reject			v.	B1
critic			n.	B2
cheese			n.	A1
confident			adj.	B1
enhance			v.	B2
emphasize			v.	B2
nowhere			adv.	A2
inform			v.	B2
kiss			v., n.	B1
dirty			adj.	A1
lock			v., n.	A2
campus			n.	B1
vegetable			n.	A1
fortunately			adv.	A2
rope			n.	B1
slide			v., n.	B2
bedroom			n.	A1
producer			n.	B1
regret			v., n.	B2
similarity			n.	B1
ceiling			n.	B1
confirm			v.	B1
attract			v.	B1
hungry			adj.	A1
impose			v.	B2
coach			n. A2, v. B1	A2, B1
adventure			n.	A2
juice			n.	A1
organize			v.	A2
convert			v.	B2
basically			adv.	B2
pregnant			adj.	B2
invitation			n.	A2
jump			v., n.	A2
hollow			adj.	B2
cow			n.	A1
agenda			n.	B2
underground			adj., adv.	A2
destination			n.	B1
purple			adj., n.	A1
attraction			n.	B1
popularity			n.	B2
connect			v.	A2
flour			n.	B1
tough			adj.	B2
keen			adj.	B1
flash			n., v.	B2
earn			v.	A2
tonight			adv., n.	A1
script			n.	B1
predict			v.	A2
abandon			v.	B2
arrange			v.	A2
privacy			n.	B2
episode			n.	B1
accommodation			n.	B1
pin			n., v.	B1
bride			n.	B1
detect			v.	B2
prediction			n.	B1
depressed			adj.	B2
disappear			v.	A2
upset			adj., v.	B1
shopping			n.	A1
comedy			n.	A2
steep			adj.	B2
frightened			adj.	B1
midnight			n.	A1
obey			v.	B2
architect			n.	A2
holiday			n.	A1
tooth			n.	A1
smart			adj.	B1
insist			v.	B2
transform			v.	B2
