Word	Annotation	Sense	Part of Speech	Level
line			n. A1, v. B2	A1, B2
court			n.	B1
put			v.	A1
young			adj. A1, n. B1	A1, B1
common			adj., n.	A1
person			n.	A1
either			det./pron., adv.	A2
let			v.	A1
why			adv.	A1
land			n. A1, v. A2	A1, A2
head			n. A1, v. B1	A1, B1
business			n.	A1
company			n.	A1
church			n.	A2
effect			n.	A2
society			n.	A2
around			prep., adv.	A1
better			adj. A1, adv. A2, n. B1	A1, A2, B1
nothing			pron.	A1
white			adj., n.	A1
itself			pron.	A2
something			pron.	A1
light	(from the sun/a lamp)		n.	
light	(not heavy)		adj.	A2
question			n. A1, v. A2	A1, A2
almost			adv.	A2
interest			n., v.	A1
mind			n., v.	A2
next			adj., adv. A1, n. B1	A1, B1
next to			prep.	A1
least			det./pron., adv.	A2
level			n. A2, adj. B1, v. B2	A2, B1, B2
themselves			pron.	A2
economic			adj.	B1
child			n.	A1
death			n.	A2
service			n.	A2
view			n. A2, v. B1	A2, B1
action			n.	A1
five			number	A1
press			v., n.	B1
father			n.	A1
further			adj. A2, adv. B1	A2, B1
love			n., v.	A1
research			n., v.	A2
area			n.	A1
true			adj.	A1
education			n.	A2
self			n.	B2
age			n. A1, v. B1	A1, B1
necessary			adj.	A2
subject			n. A1, adj. B2	A1, B2
want			v.	A1
ever			adv.	A1
problem			n.	A1
free			adj. A1, adv. A2, v. B2	A1, A2, B2
party			n.	A1
king			n.	A2
together			adv.	A1
century			n.	A1
section			n.	A1
position			n. A2, v. B2	A2, B2
type			n. A1, v. B1	A1, B1
result			n. A1, v. B1	A1, B1
help			v., n.	A1
individual			n., adj.	A2
already			adv.	A2
matter			n., v.	A2
full			adj.	A1
half			n., det./pron. A1, adv. A2	A1, A2
various			adj.	B1
sense			n. A2, v. B2	A2, B2
look			v. A1, n. A2	A1, A2
based			adj.	A2
whose			det./pron.	A2
south			n., adj., adv.	A1
total			adj., n.	B1
class			n.	A1
perhaps			adv.	A2
policy			n.	B1
local			adj. A1, n. B1	A1, B1
enough			det., pron., adv.	A1
particular			adj.	A2
rate			n. A2, v. B2	A2, B2
air			n.	A1
along			prep., adv.	A2
mother			n.	A1
knowledge			n.	A2
face			n. A1, v. B1	A1, B1
word			n.	A1
kind	(caring)		adj.	B1
kind	(type)		n.	A1
open			adj., v.	A1
able			adj.	A2
money			n.	A1
experience			n. A2, v. B1	A2, B1
support			v., n.	A2
real			adj.	A1
black			adj., n.	A1
language			n.	A1
room			n.	A1
force			n., v.	B1
low			adj., adv. A2, n. B2	A2, B2
according to			prep.	A2
usually			adv.	A1
north			n., adj., adv.	A1
show			v., n.	A1
night			n.	A1
short			adj.	A1
field			n.	A2
reason			n.	A1
quite			adv.	A1
nor			conj./adv.	B1
health			n.	A1
special			adj.	A1
thing			n.	A1
analysis			n.	B1
especially			adv.	A2
lord			n.	B2
woman			n.	A1
major			adj.	A2
similar			adj.	A1
care			n., v.	A2
theory			n.	B1
whom			pron.	B2
office			n.	A1
art			n.	A1
production			n.	B1
sometimes			adv.	A1
third			number A1, n. A2	A1, A2
due			adj.	B1
international			adj.	A2
single			adj., n.	A2
natural			adj.	A1
account			n. B1, v. B2	B1, B2
cause			n., v.	A2
community			n.	A2
heart			n.	A2
soon			adv.	A1
method			n.	A2
evidence			n.	A2
trade			n., v.	B1
foreign			adj.	A2
west			n., adj., adv.	A1
clear			adj. A2, v. B1	A2, B1
model			n. A1, v. B2	A1, B2
near			prep., adj., adv.	A1
probably			adv.	A1
including			prep.	A2
read			v.	A1
material			n. A2, adj. B2	A2, B2
long-term			adj., adv.	B2
term			n. A2, v. B2	A2, B2
past			adj., n., prep. A1, adv. A2	A1, A2
report			n. A1, v. A2	A1, A2
future			n. A1, adj. A2	A1, A2
structure			n. A2, v. B2	A2, B2
available			adj.	A2
working			adj.	A2
tell			v.	A1
amount			n. A2, v. B2	A2, B2
really			adv.	A1
function			n. B1, v. B2	B1, B2
keep			v.	A1
indeed			adv.	B1
growth			n.	B1
market			n. A1, v. B1	A1, B1
increase			v., n.	A2
personal			adj.	A1
cost			n., v.	A1
mean			v.	A1
surface			n.	B1
idea			n.	A1
lower			v.	B2
note			n. A1, v. B1	A1, B1
program			n. A2, v. B1	A2, B1
treatment			n.	B1
six			number	A1
food			n.	A1
close		1	v. A1, n. B2	A1, B2
close		2	adj. A2, adv. B1	A2, B1
blood			n.	A2
population			n.	A2
central			adj.	B1
character			n.	A2
president			n.	A2
